AGE,HS_GPA,Cum_GPA,Comp_sex,comp_lev,Cum GPA BOT group,Ethnicity,CrsHierarchy,Cum Units BOT group,comp_enrol,CatalogNum,Course Number,Class Type,Comp Pell,CourseDpt,Course,ENR_STATUS,EOP_STATUS,ETH_WASC,FGS_all,FresnoSArea,FullTime,GPA_T1,GPAcum_T1,GradeNum,Grade,Grd Points,HSGPA,LCOM Group,MajorDesc,PELL_Recipient,PERIOD,Pass,Semester,Course Number_1,Profile 2,RemEngl,RemMath,SAT_COMP,SAT_MATH,SAT_VERB,SEX,Tot Enrl,Transcript Description
19,3.5-4.0,3,Male,Sophomore,3.0-3.4,Hispanic,74798,30-44,Continuing,10,74798,E,Not,Psychology,PSYCH 10,1,N,Hispanic,0,0,1,3.25,3.089,2,C,6,3.6500000950000002,NA,*Kinesiology-General Kines,0,20104,1,F10,74798,3.5-4.0,0,0,1060,560,500,M,256,MAJOR: KINESIOLOGY - GENERAL KINESIOLOGY OPTION
20,3.5-4.0,3.68,Male,Sophomore,3.5-4.0,Unknown,74798,30-44,Continuing,10,74798,E,Not,Psychology,PSYCH 10,1,N,Unknown,NA,1,1,3.19,3.528,3,B,9,3.9400000569999998,NA,Crim-Corrections,0,20104,1,F10,74798,3.5-4.0,0,0,1060,600,460,M,256,MAJOR: CRIMINOLOGY - CORRECTIONS OPTION
19,3.5-4.0,3.37,Male,Sophomore,3.0-3.4,White,74798,30-44,Continuing,10,74798,E,Not,Psychology,PSYCH 10,1,N,White,1,1,1,3.88,3.543,4,A,12,3.829999924,NA,Music-Music As A Liberal Art,0,20104,1,F10,74798,3.5-4.0,0,0,1070,590,480,M,256,MAJOR: MUSIC - MUSIC AS A LIBERAL ART OPTION
19,2.5-2.9,1.71,Female,Freshman,1.5-1.9,Asian,74798,15-29,Continuing,10,74798,E,Pell Grant Recipient,Psychology,PSYCH 10,1,N,Asian,1,1,1,3,2.444,2,C,6,2.829999924,NA,Art - Graphic Design Option,1,20104,1,F10,74798,2.5-2.9,1,1,750,370,380,F,256,MAJOR: ART - GRAPHIC DESIGN OPTION
19,> 4.0,3.46,Female,Freshman,3.0-3.4,Asian,75077,15-29,Continuing,10,75077,E,Pell Grant Recipient,Psychology,PSYCH 10,1,N,Asian,1,1,1,3.8,3.585,3,B,9,4.25,NA,Pre-Nursing,1,20104,1,F10,75077,> 4.0,1,0,1120,580,540,F,254,MAJOR: PRE-NURSING
19,3.0-3.4,2.18,Female,Freshman,2.0-2.4,Asian,74798,15-29,Continuing,10,74798,E,Pell Grant Recipient,Psychology,PSYCH 10,1,N,Asian,1,1,1,3.2,2.735,3,B,9,3.390000105,NA,Pre-Business,1,20104,1,F10,74798,3.0-3.4,1,1,710,350,360,F,256,MAJOR: PRE-BUSINESS
19,3.5-4.0,3.46,Female,Freshman,3.0-3.4,Asian,74798,15-29,Continuing,10,74798,E,Pell Grant Recipient,Psychology,PSYCH 10,1,N,Asian,1,1,1,2.56,3.1,2,C,6,3.700000048,NA,*Biol-Physiology & Anatomy,1,20104,1,F10,74798,3.5-4.0,1,0,930,510,420,F,256,MAJOR: BIOLOGY - PHYSIOLOGY AND ANATOMY OPTION
19,3.5-4.0,3.87,Female,Freshman,3.5-4.0,Hispanic,75077,15-29,Continuing,10,75077,E,Pell Grant Recipient,Psychology,PSYCH 10,1,N,Hispanic,1,1,1,3.08,3.583,2,C,6,3.5999999049999998,NA,M Comm & Journ-Print Journ,1,20104,1,F10,75077,3.5-4.0,1,0,900,440,460,F,254,MAJOR: MASS COMMUNICATION - PRINT JOURNALISM OPTION
19,3.0-3.4,2.65,Female,Freshman,2.5-2.9,Hispanic,75077,15-29,Continuing,10,75077,E,Pell Grant Recipient,Psychology,PSYCH 10,1,N,Hispanic,1,0,1,2.81,2.727,2,C,6,3.1500000950000002,NA,M Comm & Journ-Broadcast Journ,1,20104,1,F10,75077,3.0-3.4,1,1,590,260,330,F,254,MAJOR: MASS COMMUNICATION AND JOURNALISM - BROADCAST JOURNALISM OPTION
19,2.5-2.9,3.88,Female,Freshman,3.5-4.0,Hispanic,75077,15-29,Continuing,10,75077,E,Pell Grant Recipient,Psychology,PSYCH 10,1,N,Hispanic,1,0,1,2.5,3.417,2,C,6,2.549999952,NA,M Comm & Journ-Public Relation,1,20104,1,F10,75077,2.5-2.9,1,1,NA,NA,NA,F,254,MAJOR: MASS COMMUNICATION AND JOURNALISM - PUBLIC RELATIONS OPTION
19,3.0-3.4,3.67,Female,Freshman,3.5-4.0,Hispanic,74798,15-29,Continuing,10,74798,E,Pell Grant Recipient,Psychology,PSYCH 10,1,N,Hispanic,1,1,1,3.75,3.7,3,B,9,3.450000048,NA,Pre-Nursing,1,20104,1,F10,74798,3.0-3.4,1,1,NA,NA,NA,F,256,MAJOR: PRE-NURSING
19,3.5-4.0,3.46,Female,Freshman,3.0-3.4,Hispanic,74798,15-29,Continuing,10,74798,E,Pell Grant Recipient,Psychology,PSYCH 10,1,N,Hispanic,1,1,1,3.6,3.543,3,B,9,3.890000105,NA,Health Sci-Comm Health,1,20104,1,F10,74798,3.5-4.0,1,1,790,400,390,F,256,MAJOR: HEALTH SCIENCE - COMMUNITY HEALTH OPTION
