AGE,HS_GPA,Cum_GPA,Comp_sex,comp_lev,Cum GPA BOT group,Ethnicity,CrsHierarchy,Cum Units BOT group,comp_enrol,CatalogNum,Course Number,Class Type,Comp Pell,CourseDpt,Course,ENR_STATUS,EOP_STATUS,ETH_WASC,FGS_all,FresnoSArea,FullTime,GPA_T1,GPAcum_T1,GradeNum,Grade,Grd Points,HSGPA,INSTI_NAME,LCOM Group,MajorDesc,PELL_Recipient,PERIOD,Pass,Semester,Course Number,Profile 2,RemEngl,RemMath,SAT_COMP,SAT_MATH,SAT_VERB,SEX,Tot Enrl,Transcript Description
18,> 4.0,,Female,Freshman,,Asian,40353,0-14,First-Time,10,40353,E,Not,Psychology,PSYCH 10,5,,Asian,1,1,1,3.82,3.824,4,A,16,4.090000153,Buchanan High,,Pre-Psychology,0,20024,1,F02,40353,> 4.0,0,0,1240,590,650,F,144,MAJOR: PRE-PSYCHOLOGY
21,Unknown,4,Male,Senior,3.5-4.0,White,40353,120-139,Continuing,10,40353,E,Not,Psychology,PSYCH 10,1,,White,0,0,1,4,4,4,A,16,,Morro Bay High,,Music-Instrumental Music Ed,0,20024,1,F02,40353,Unknown,0,0,1260,650,610,M,144,MAJOR: MUSIC - MUSIC EDUCATION OPTION
18,2.5-2.9,,Female,Freshman,,African American,40364,0-14,First-Time,10,40364,E,Not,Psychology,PSYCH 10,5,,African American,1,0,1,1.62,2.45,0,F,0,2.880000114,Colorado,,Undeclared                UGRD,0,20024,0,F02,40364,2.5-2.9,1,1,900,440,460,F,121,MAJOR: UNDECLARED
19,3.0-3.4,3.8,Female,Sophomore,3.5-4.0,White,40364,30-44,Continuing,10,40364,E,Not,Psychology,PSYCH 10,1,,White,0,0,1,3.47,3.681,4,A,16,3.460000038,Castro Valley High,,Comm Disorders - Deaf Educatin,0,20024,1,F02,40364,3.0-3.4,0,1,870,450,420,F,121,MAJOR: COMMUNICATIVE DISORDERS
19,3.5-4.0,2.68,Female,Sophomore,2.5-2.9,White,40353,30-44,Continuing,10,40353,E,Not,Psychology,PSYCH 10,1,,White,1,0,1,3.47,3,4,A,16,3.670000076,Arcadia High,,Pre-Physical Therapy,0,20024,1,F02,40353,3.5-4.0,0,0,1200,590,610,F,144,MAJOR: INTERDISCIPLINARY HEALTH AND REHABILITATION SCIENCES - PRE-PHYSICAL THERAPY OPTION
22,Unknown,3.17,Female,Senior,3.0-3.4,White,40353,140+,Continuing,10,40353,E,Not,Psychology,PSYCH 10,1,,White,1,1,0,3.5,3.188,3,B,12,,Fresno Christian Schools,,Theatre Arts - Dsng/Tech,0,20024,1,F02,40353,Unknown,0,1,1120,520,600,F,144,MAJOR: THEATRE ARTS
25,Unknown,2.55,Female,Senior,2.5-2.9,White,40364,120-139,Continuing,10,40364,E,Pell Grant Recipient,Psychology,PSYCH 10,1,,White,,1,1,2,2.43,2,C,8,,Fresno City College,,Chemistry,1,20024,1,F02,40364,Unknown,0,0,,,,F,121,MAJOR: CHEMISTRY
21,Unknown,3.87,Male,Senior,3.5-4.0,Hispanic,40353,105-119,Continuing,10,40353,E,Pell Grant Recipient,Psychology,PSYCH 10,1,,Hispanic,1,1,1,3.47,3.812,3,B,12,,California State University  Long Beach,,Music-Instrumental Music Ed,1,20024,1,F02,40353,Unknown,0,0,1100,490,610,M,144,MAJOR: MUSIC - MUSIC EDUCATION OPTION
18,3.5-4.0,3.54,Female,Freshman,3.5-4.0,Hispanic,40353,15-29,Continuing,10,40353,E,Pell Grant Recipient,Psychology,PSYCH 10,1,Y,Hispanic,1,1,1,3.57,3.302,4,A,16,3.680000067,Roosevelt High,,Pre-Psychology,1,20024,1,F02,40353,3.5-4.0,0,1,,,,F,144,MAJOR: PRE-PSYCHOLOGY
19,2.5-2.9,2.82,Female,Freshman,2.5-2.9,Unknown,40353,15-29,Continuing,10,40353,E,Pell Grant Recipient,Psychology,PSYCH 10,1,Y,Unknown,1,1,1,1,2.308,2,C,8,2.930000067,Central High,,Undeclared                UGRD,1,20024,1,F02,40353,2.5-2.9,0,1,,,,F,144,MAJOR: UNDECLARED
